module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Accounts Settings,automatically_process_deferred_accounting_entry,Automatically process deferred Accounting entry,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,book_deferred_entries_via_journal_entry,Book deferred entries via Journal Entry,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,submit_journal_entries,Submit Journal entries,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,book_deferred_entries_based_on,Book Deferred entries based on,Select,varchar(140),Days|Months,0,0,0,0,Days,
Accounts,Accounts Settings,delete_linked_ledger_entries,Delete Accounting and Stock Ledger entries on deletion of transaction,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,role_allowed_to_over_bill,Role Allowed to over bill ,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,enable_overdue_billing_threshold,Restrict Customer Over Billing,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,role_allowed_to_bypass_overdue_billing,Role Allowed to Bypass Over Billing Restriction,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,enable_common_party_accounting,Enable Common Party Accounting,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,allow_multi_currency_invoices_against_single_party_account,Allow multi-currency invoices against single party account ,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,show_balance_in_coa,Show balances in Chart of Accounts,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,book_tax_discount_loss,Book tax loss on early payment discount,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,merge_similar_account_heads,Merge similar Account Heads,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,auto_reconcile_payments,Auto reconcile Payments,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,show_taxes_as_table_in_print,Show taxes as table in print,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,enable_party_matching,Enable Automatic Party Matching,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,enable_fuzzy_matching,Enable Fuzzy Matching,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,ignore_account_closing_balance,Ignore Account closing balance,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,round_row_wise_tax,Round tax amount row-wise,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,general_ledger_remarks_length,General Ledger remarks length,Int,integer,,0,0,0,0,0,
Accounts,Accounts Settings,receivable_payable_remarks_length,Accounts Receivable / Payable remarks length,Int,integer,,0,0,0,0,0,
Accounts,Accounts Settings,enable_immutable_ledger,Enable Immutable Ledger,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,calculate_depr_using_total_days,Calculate daily depreciation using total days in depreciation period,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,create_pr_in_draft_status,Create payment requests in Draft status,Check,smallint,,0,0,0,0,1,
Accounts,Accounts Settings,auto_reconciliation_job_trigger,Auto Reconciliation job trigger,Int,integer,,0,0,0,0,15,
Accounts,Accounts Settings,reconciliation_queue_size,Reconciliation queue size,Int,integer,,0,0,0,0,5,
Accounts,Accounts Settings,ignore_is_opening_check_for_reporting,Ignore Is Opening check for reporting,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,exchange_gain_loss_posting_date,Posting Date inheritance for exchange gain / loss,Select,varchar(140),Invoice|Payment|Reconciliation Date,0,0,0,0,Payment,
Accounts,Accounts Settings,receivable_payable_fetch_method,Data fetch method,Select,varchar(140),Buffered Cursor|UnBuffered Cursor,0,0,0,0,Buffered Cursor,
Accounts,Accounts Settings,maintain_same_internal_transaction_rate,Maintain same rate throughout internal Transaction,Check,smallint,,0,0,0,0,0,
Accounts,Accounts Settings,maintain_same_rate_action,Action if same rate is not maintained throughout internal transaction,Select,varchar(140),Stop|Warn,0,0,0,0,Stop,
Accounts,Accounts Settings,role_to_override_stop_action,Role allowed to override stop action,Link,varchar(140),Role,0,0,0,0,,
Accounts,Accounts Settings,confirm_before_resetting_posting_date,Confirm before resetting posting date,Check,smallint,,0,0,0,0,1,
